Point,Zone,Probe,DAS,Date,depth_5,depth_15,depth_25,depth_35,depth_45,depth_55,depth_65,depth_75,depth_85,Neutron_depth_5,Neutron_depth_15,Neutron_depth_25,Neutron_depth_35,Neutron_depth_45,Neutron_depth_55,Neutron_depth_65,Neutron_depth_75,Neutron_depth_85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,49,1-Feb,53.24462167,54.22953083,52.88748938,54.89380813,54.36683563,54.05078188,55.61447292,54.67842146,55.08620458,48.66558421,49.56579118,48.33916529,50.17294063,49.69128777,49.40241464,50.83162825,49.97607721,50.34879099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,50,2-Feb,53.20528938,54.26199833,52.888105,54.88899208,54.31547917,54.03875604,55.61028083,54.68264542,55.098965,48.62963449,49.59546647,48.33972797,50.16853876,49.64434796,49.39142302,50.82779668,49.97993791,50.36045401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,51,3-Feb,53.08267729,54.25322708,52.88702729,54.87178917,54.2153125,54.04446125,55.58797604,54.6622925,55.09775792,48.51756704,49.58744955,48.33874294,50.1528153,49.55279563,49.39663758,50.8074101,49.96133535,50.35935074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,52,4-Feb,52.95107729,54.26907708,52.8964225,54.85321208,54.16810813,54.00977958,55.56501021,54.66229563,55.08396333,48.39728464,49.60193645,48.34733017,50.13583584,49.50965083,49.36493854,50.78641933,49.96133821,50.34674248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,53,5-Feb,52.76965542,54.28216,52.9092075,54.84702292,54.12944292,54.00284625,55.5422125,54.65749458,55.10637938,48.23146505,49.61389424,48.35901566,50.13017895,49.47431083,49.35860147,50.76558223,49.95695005,50.36723075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,54,6-Feb,52.48994292,54.28954729,52.92384438,54.84667833,54.10621792,53.95678375,55.51573542,54.69454958,55.116555,47.97580783,49.62064622,48.37239376,50.12986399,49.45308318,49.31650035,50.74138217,49.99081832,50.37653127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,55,7-Feb,52.12018938,54.27262104,52.91999208,54.82948146,54.10160958,53.87995458,55.45627292,54.70952917,55.16745208,47.63785309,49.60517563,48.36887276,50.11414605,49.44887116,49.24627849,50.68703345,50.00450966,50.4230512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,56,8-Feb,51.81453292,54.25076063,52.91552354,54.82380688,54.06563021,53.82349438,55.40371042,54.71048938,55.20231583,47.35848309,49.58519522,48.36478852,50.10895949,49.41598601,49.19467386,50.63899132,50.00538729,50.45491667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,57,9-Feb,51.51354354,54.19279,52.91167229,54.82226021,54.04224521,53.79812,55.37977854,54.70472854,55.23287708,47.0833788,49.53221006,48.36126847,50.10754583,49.39461212,49.17148168,50.61711759,50.00012189,50.48284965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,58,10-Feb,50.45165042,54.14947083,52.92415354,54.78925417,54.00274854,53.76722354,55.33294667,54.66440667,55.25861271,46.11280848,49.49261634,48.37267634,50.07737831,49.35851217,49.14324232,50.57431326,49.9632677,50.50637202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
